ID,classID,class,kW,zenfuka,heater_A,kidoID,kido,syadanID,syadan,bunki
250,1,200V,7.5,29,29,1,直入,13,150,"NF125-RV 60"
251,1,200V,11,44,42,1,直入,13,150,"NF125-RV 75"
252,1,200V,15,55,54,1,直入,13,150,"NF125-RV 100"
253,1,200V,18.5,67,67,1,直入,13,150,"NF125-RV 100"
254,1,200V,22,85,82,1,直入,13,150,"NF250-RV 150"
255,1,200V,30,110,105,1,直入,13,150,"NF250-RV 175"
256,1,200V,37,130,125,1,直入,13,150,"NF250-RV 225"
257,1,200V,45,164,150,1,直入,13,150,"NF400-REV 250"
258,1,200V,55,195,180,1,直入,13,150,"NF400-REV 300"
259,1,200V,75,267,250,1,直入,13,150,"NF400-REV 400"
260,1,200V,90,320,330,1,直入,13,150,"NF630-REV 500"
261,1,200V,110,385,330,1,直入,13,150,"NF630-REV 600"
262,1,200V,132,470,500,1,直入,29,125,"NF1000-SEW 700"
263,1,200V,160,580,500,1,直入,29,125,"NF1250-SEW 800"
264,1,200V,200,720,600,1,直入,29,125,"NF1600-SEW 1000"
265,1,200V,0.1,0.7,0.7,1,直入,15,200,"NF125-UV (15)"
266,1,200V,0.2,1.2,1.3,1,直入,15,200,"NF125-UV (15)"
267,1,200V,0.4,2.1,2.1,1,直入,15,200,"NF125-UV (15)"
268,1,200V,0.75,3.7,3.6,1,直入,15,200,"NF125-UV (15)"
269,1,200V,1.5,6.4,6.6,1,直入,15,200,"NF125-UV (15)"
270,1,200V,2.2,9.1,9,1,直入,15,200,"NF125-UV 20"
271,1,200V,3.7,15,15,1,直入,15,200,"NF125-UV 30"
272,1,200V,5.5,22,22,1,直入,15,200,"NF125-UV 50"
273,1,200V,7.5,29,29,1,直入,15,200,"NF125-UV 60"
274,1,200V,11,44,42,1,直入,15,200,"NF125-UV 75"
275,1,200V,15,55,54,1,直入,15,200,"NF125-UV 100"
276,1,200V,18.5,67,67,1,直入,15,200,"NF125-UV 100"
277,1,200V,22,85,82,1,直入,15,200,"NF250-UV 150"
278,1,200V,30,110,105,1,直入,15,200,"NF250-UV 175"
279,1,200V,37,130,125,1,直入,15,200,"NF250-UV 225"
280,1,200V,45,164,150,1,直入,15,200,"NF400-UEW 250"
281,1,200V,55,195,180,1,直入,15,200,"NF400-UEW 300"
282,1,200V,75,267,250,1,直入,15,200,"NF400-UEW 400"
283,1,200V,90,320,330,1,直入,15,200,"NF800-UEW 500"
284,1,200V,110,385,330,1,直入,15,200,"NF800-UEW 600"
285,1,200V,132,470,500,1,直入,14,170,"NF1200-UR 700"
286,1,200V,160,580,500,1,直入,14,170,"NF1200-UR 800"
287,1,200V,200,720,600,1,直入,14,170,"NF1200-UR 1000"
288,1,200V,5.5,22,22,2,Y△,0,2.5,☆
289,1,200V,7.5,29,29,2,Y△,0,2.5,☆
290,1,200V,11,44,42,2,Y△,0,2.5,☆
291,1,200V,15,55,54,2,Y△,0,2.5,☆
292,1,200V,18.5,67,67,2,Y△,0,2.5,☆
293,1,200V,22,85,82,2,Y△,0,2.5,☆
294,1,200V,30,110,105,2,Y△,0,2.5,☆
295,1,200V,37,130,125,2,Y△,0,2.5,☆
296,1,200V,45,164,150,2,Y△,0,2.5,☆
297,1,200V,55,195,180,2,Y△,0,2.5,☆
298,1,200V,75,267,250,2,Y△,0,2.5,☆
299,1,200V,90,320,330,2,Y△,0,2.5,☆
300,1,200V,110,385,330,2,Y△,0,2.5,☆
301,1,200V,132,470,500,2,Y△,0,2.5,☆
302,1,200V,160,580,500,2,Y△,0,2.5,☆
303,1,200V,200,720,600,2,Y△,0,2.5,☆
304,1,200V,5.5,22,22,2,Y△,0,5,"NF50-KC 50"
305,1,200V,7.5,29,29,2,Y△,0,5,"NF100-KC 75"
306,1,200V,11,44,42,2,Y△,0,5,"NF100-KC 100"
307,1,200V,15,55,54,2,Y△,0,5,☆
308,1,200V,18.5,67,67,2,Y△,0,5,☆
309,1,200V,22,85,82,2,Y△,0,5,☆
310,1,200V,30,110,105,2,Y△,0,5,☆
311,1,200V,37,130,125,2,Y△,0,5,☆
312,1,200V,45,164,150,2,Y△,0,5,☆
313,1,200V,55,195,180,2,Y△,0,5,☆
314,1,200V,75,267,250,2,Y△,0,5,☆
315,1,200V,90,320,330,2,Y△,0,5,☆
316,1,200V,110,385,330,2,Y△,0,5,☆
317,1,200V,132,470,500,2,Y△,0,5,☆
318,1,200V,160,580,500,2,Y△,0,5,☆
319,1,200V,200,720,600,2,Y△,0,5,☆
320,1,200V,5.5,22,22,2,Y△,0,7.5,"NF63-CV 50"
321,1,200V,7.5,29,29,2,Y△,0,7.5,"NF63-CV 60"
322,1,200V,11,44,42,2,Y△,0,7.5,☆
323,1,200V,15,55,54,2,Y△,0,7.5,☆
324,1,200V,18.5,67,67,2,Y△,0,7.5,☆
325,1,200V,22,85,82,2,Y△,0,7.5,☆
326,1,200V,30,110,105,2,Y△,0,7.5,☆
327,1,200V,37,130,125,2,Y△,0,7.5,☆
328,1,200V,45,164,150,2,Y△,0,7.5,☆
329,1,200V,55,195,180,2,Y△,0,7.5,☆
330,1,200V,75,267,250,2,Y△,0,7.5,☆
331,1,200V,90,320,330,2,Y△,0,7.5,☆
332,1,200V,110,385,330,2,Y△,0,7.5,☆
333,1,200V,132,470,500,2,Y△,0,7.5,☆
334,1,200V,160,580,500,2,Y△,0,7.5,☆
335,1,200V,200,720,600,2,Y△,0,7.5,☆
336,1,200V,5.5,22,22,2,Y△,0,10,☆
337,1,200V,7.5,29,29,2,Y△,0,10,☆
338,1,200V,11,44,42,2,Y△,0,10,☆
339,1,200V,15,55,54,2,Y△,0,10,☆
340,1,200V,18.5,67,67,2,Y△,0,10,☆
341,1,200V,22,85,82,2,Y△,0,10,☆
342,1,200V,30,110,105,2,Y△,0,10,☆
343,1,200V,37,130,125,2,Y△,0,10,☆
344,1,200V,45,164,150,2,Y△,0,10,☆
345,1,200V,55,195,180,2,Y△,0,10,☆
346,1,200V,75,267,250,2,Y△,0,10,☆
347,1,200V,90,320,330,2,Y△,0,10,☆
348,1,200V,110,385,330,2,Y△,0,10,☆
349,1,200V,132,470,500,2,Y△,0,10,☆
350,1,200V,160,580,500,2,Y△,0,10,☆
351,1,200V,200,720,600,2,Y△,0,10,☆
352,1,200V,5.5,22,22,2,Y△,0,15,"NF63-SV 50"
353,1,200V,7.5,29,29,2,Y△,0,15,"NF63-SV 60"
354,1,200V,11,44,42,2,Y△,0,15,☆
355,1,200V,15,55,54,2,Y△,0,15,☆
356,1,200V,18.5,67,67,2,Y△,0,15,☆
357,1,200V,22,85,82,2,Y△,0,15,☆
358,1,200V,30,110,105,2,Y△,0,15,☆
359,1,200V,37,130,125,2,Y△,0,15,☆
360,1,200V,45,164,150,2,Y△,0,15,☆
361,1,200V,55,195,180,2,Y△,0,15,☆
362,1,200V,75,267,250,2,Y△,0,15,☆
363,1,200V,90,320,330,2,Y△,0,15,☆
364,1,200V,110,385,330,2,Y△,0,15,☆
365,1,200V,132,470,500,2,Y△,0,15,☆
366,1,200V,160,580,500,2,Y△,0,15,☆
367,1,200V,200,720,600,2,Y△,0,15,☆
368,1,200V,5.5,22,22,2,Y△,0,25,"NF63-HV 50"
369,1,200V,7.5,29,29,2,Y△,0,25,"NF63-HV 60"
370,1,200V,11,44,42,2,Y△,0,25,☆
371,1,200V,15,55,54,2,Y△,0,25,☆
372,1,200V,18.5,67,67,2,Y△,0,25,☆
373,1,200V,22,85,82,2,Y△,0,25,☆
374,1,200V,30,110,105,2,Y△,0,25,☆
375,1,200V,37,130,125,2,Y△,0,25,☆
